P_NAME,P_MASS,P_RADIUS,P_GRAVITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE_TEMP,P_HABITABLE,P_ESI
Kepler-1364 b,,2.15232,,0.12558867,390.30698,1132.3912,Hot,0,0.25052409
Kepler-1365 b,,0.91922,,0.076295851,188.09127,943.4895,Hot,0,0.29973948
Kepler-1365 c,,0.79591,,0.055480334,355.70696,1106.4149,Hot,0,0.29228109
Kepler-1366 b,,1.43488,,0.027918237,113.55148,831.65482,Hot,0,0.2938536
Kepler-1367 b,,0.91922,,0.022576669,179.86523,933.00014,Hot,0,0.30007933
Kepler-1368 b,,1.64787,,0.015409378,5354.7566,2179.3644,Hot,0,0.27229142
Kepler-1369 b,,2.6904,,0.17059023,33.238563,611.72393,Hot,0,0.2595955
Kepler-137 b,,1.46851,,0.077,70.008724,736.94139,Hot,0,0.2998271
Kepler-137 c,,1.88328,,0.13,24.561049,567.16136,Hot,0,0.31316611
Kepler-1370 b,,1.83844,,0.15411482,92.876597,790.89983,Hot,0,0.2771243
Kepler-1370 c,,1.26673,,0.079030695,353.18603,1104.4493,Hot,0,0.29197988
Kepler-1371 b,,0.72865,,0.042616386,280.72096,1042.8302,Hot,0,0.28919335
Kepler-1371 c,,0.63897,,0.029704242,577.81808,1249.087,Hot,0,0.27832697
Kepler-1372 b,,1.26673,,0.023286776,1614.6893,1614.98,Hot,0,0.28888383
Kepler-1373 b,,1.15463,,0.024791293,4059.5698,2033.5971,Hot,0,0.29142201
Kepler-1374 b,,2.28684,,0.089734095,58.60971,704.91589,Hot,0,0.26267212
Kepler-1375 b,,1.73755,,0.049316782,2357.6276,1775.2671,Hot,0,0.26825832
Kepler-1376 b,,1.05374,,0.059144747,247.14881,1010.1469,Hot,0,0.29834828
Kepler-1377 b,,1.25552,,0.01523561,1924.0349,1687.3227,Hot,0,0.28910022
Kepler-1378 b,,2.19716,,0.090827526,18.389736,527.58056,Hot,0,0.31277604
Kepler-1379 b,,1.30036,,0.016909437,1416.7213,1563.0253,Hot,0,0.28788018
Kepler-138 b,0.066743881,0.52687,0.24043878,0.074545733,6.7940018,411.31668,Hot,0,0.43050409
Kepler-138 c,1.9705336,1.19947,1.3696357,0.090442133,4.6156156,373.42408,Hot,0,0.54023493
Kepler-138 d,0.63883429,1.21068,0.4358424,0.12757614,2.3197024,314.4148,Hot,0,0.71093475
Kepler-1380 b,,1.43488,,0.091438459,91.139645,787.17582,Hot,0,0.2968079
Kepler-1381 b,,2.25321,,0.16671567,31.071077,601.49772,Hot,0,0.28321468
Kepler-1382 b,,1.88328,,0.13969518,195.69853,952.88787,Hot,0,0.26732843
Kepler-1383 b,,1.41246,,0.12222812,204.75244,963.7229,Hot,0,0.28940708
Kepler-1384 b,,1.93933,,0.11130588,23.185859,559.05007,Hot,0,0.31313066
Kepler-1385 b,,0.85196,,0.041580242,930.93376,1407.2608,Hot,0,0.29215032
Kepler-1386 b,,1.24431,,0.070275565,207.91325,967.42087,Hot,0,0.29544522
Kepler-1387 b,,0.93043,,0.031720787,342.27185,1095.8162,Hot,0,0.29655131
Kepler-1388 b,,2.58951,,0.089306698,11.788758,472.07601,Hot,0,0.32628915
Kepler-1388 c,,2.26442,,0.05249179,34.123484,615.75543,Hot,0,0.27910269
Kepler-1388 d,,2.85855,,0.12749895,5.7839284,395.09418,Hot,0,0.39614025
Kepler-1388 e,,2.45499,,0.18836494,2.6499397,325.0528,Hot,0,0.56313996
Kepler-1389 b,,1.77118,,0.39099148,2.1339699,307.9229,Hot,0,0.6772267
Kepler-139 b,,2.93702,,0.127,91.930105,788.8771,Hot,0,0.22556938
Kepler-139 c,,3.38542,,0.586,4.317874,367.2505,Hot,0,0.41470612
Kepler-1390 b,,1.17705,,0.067552994,206.55185,965.83332,Hot,0,0.29734988
Kepler-1391 b,,1.6815,,0.283729,15.664552,506.84411,Hot,0,0.3523254
Kepler-1392 b,,1.96175,,0.1147557,44.297906,657.26531,Hot,0,0.28617563
Kepler-1393 b,,0.79591,,0.034895404,656.0134,1289.3567,Hot,0,0.29048063
Kepler-1394 b,,1.39004,,0.057537358,3104.8259,1901.7535,Hot,0,0.28398857
Kepler-1395 b,,0.79591,,0.050071774,767.39763,1340.9112,Hot,0,0.29017062
Kepler-1396 b,,2.07385,,0.14316802,103.8411,813.27465,Hot,0,0.26370643
Kepler-1397 b,,1.71513,,0.26392201,21.276,547.16386,Hot,0,0.32997456
Kepler-1398 b,,0.8968,,0.040372021,1077.9526,1459.8049,Hot,0,0.29315622
Kepler-1398 c,,1.03132,,0.052530959,636.69284,1279.7567,Hot,0,0.29502662
Kepler-1399 b,,1.25552,,0.026921017,1232.4857,1509.5252,Hot,0,0.28950947
Kepler-14 b,2669.7552,12.73456,16.462794,0.080541471,972.56237,1422.4089,Hot,0,0.071058657
Kepler-140 b,,1.61424,,0.045,1004.1532,1434.1511,Hot,0,0.27500679
